objectid,parentid,title,creator,date,date-is-approximate?,entry_date,external_resources,address,description,space_syntax,subject,building_type,conservation_state,bibliography,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
hg002,,Railway Goods Shed,,1959,,,https://www.sbb.ch/en?nach=8810+Horgen+Seestrasse+117|SBB Journey Planner;https://www.wikidata.org/wiki/Q126689251|Wikidata Item;https://commons.wikimedia.org/wiki/Category:Horgen_Railway_Goods_Shed|Wikimedia Commons Category;https://www.openstreetmap.org/way/31697880|OpenStreetMap Object;https://api.geo.admin.ch/rest/services/ech/MapServer/ch.bfs.gebaeude_wohnungs_register/172169_0/extendedHtmlPopup|EGID,"Seestrasse 117, 8810 Horgen",,,Commercial Use,Cargo Facility,renewed,https://www.zotero.org/groups/5400359/sbb-max-vogt/tags/hg002/library|HG002 on Zotero,Horgen,47.26175,8.5949,,,record,compound_object,eng,,,compound_object,https://upload.wikimedia.org/wikipedia/commons/6/6f/HG002_Horgen_MaxVogt_20240615_183536.jpg,https://commons.wikimedia.org/w/thumb.php?f=HG002_Horgen_MaxVogt_20240615_183536.jpg&w=800,https://commons.wikimedia.org/w/thumb.php?f=HG002_Horgen_MaxVogt_20240615_183536.jpg&w=400,,
hg002001,hg002,Extrazug Jazz-Train mit historischer Dampflokomotive B 3/4 1367 im Bahnhof Horgen,<a href='https://foto-ch.ch/persons/detail/24289' target='_blank'>Alfred Gfeller</a>,,,1979-10-28,,,,,,,,,,,,<a href='https://www.sbbhistoric.ch/sammlungen-archive' target='_blank'>SBB Historic</a>,<a href='https://www.sbbarchiv.ch/detail.aspx?ID=676847' target='_blank'>R_6854_06</a>,Image;StillImage,record,de,no license information,,record,https://www.sbbarchiv.ch/bild.aspx?VEID=676847&DEID=10&SQNZNR=1,,,,
hg002geo,hg002,Morphological Clusters,Moritz Twente,,,2024-09,,,"This map shows morphological clusters in 1km<sup>2</sup> around Max Vogt's building. Each colour represents one cluster. The map was created with the urban morphology measurement toolkit <a href='https://docs.momepy.org/en/stable/index.html' target='_blank'>momepy</a>. Open the layer settings menu to show historical satellite imagery, railway tracks and other information on the map.",,Morphology,,,,,,,<a href='https://mtwente.github.io/maxvogt-analysis/' target='_blank'>maxvogt-analysis</a>,<a href='https://github.com/mtwente/maxvogt-analysis/blob/main/data/raw/Horgen.geojson' target='_blank'>Horgen.geojson</a>,<a href='http://purl.org/dc/dcmitype/Dataset' target='_blank'>Dataset</a>,application/geo+json,,"CC BY-SA 4.0, Moritz Twente",https://creativecommons.org/licenses/by-sa/4.0/,geodata,https://raw.githubusercontent.com/mtwente/maxvogt-analysis/refs/heads/main/data/raw/Horgen.geojson,,,,
wila003,,Auxiliary Building,,1959,,,https://www.sbb.ch/en?nach=8492+Wila+Stationsstrasse+13.1|SBB Journey Planner;https://www.wikidata.org/wiki/Q126197507|Wikidata Item;https://commons.wikimedia.org/wiki/Category:Wila_Station_Auxiliary_Building|Wikimedia Commons Category;https://www.openstreetmap.org/way/249475746|OpenStreetMap Object;https://api.geo.admin.ch/rest/services/ech/MapServer/ch.bfs.gebaeude_wohnungs_register/210248237_0/extendedHtmlPopup|EGID,"Stationsstrasse 13.1, 8492 Wila",,,Flat Roof,Rail Infrastructure,renewed,https://www.zotero.org/groups/5400359/sbb-max-vogt/tags/wila003/library|WILA003 on Zotero,Wila,47.41762,8.84864,,,record,compound_object,eng,,,compound_object,https://upload.wikimedia.org/wikipedia/commons/a/af/WILA003_Wila_MaxVogt_20240520_181153.jpg,https://commons.wikimedia.org/w/thumb.php?f=WILA003_Wila_MaxVogt_20240520_181153.jpg&w=800,https://commons.wikimedia.org/w/thumb.php?f=WILA003_Wila_MaxVogt_20240520_181153.jpg&w=400,,
wila003001,wila003,"Wila: Aufnahmegebäude, Wartehalle und Toiletten","Bauabteilung, Kreis III [BT 3 Hochbau]",,,1946–1958,,,"Grundrisse, Aussenansichten und Detailansichten des Aufnahmegebäudes, der Wartehallen und der Toiletten. Pausen.",,,,,,,,,<a href='https://www.sbbhistoric.ch/sammlungen-archive' target='_blank'>SBB Historic</a>,<a href='https://www.sbbarchiv.ch/detail.aspx?ID=601330' target='_blank'>PL_169_00553</a>,Image;StillImage,record,de,no license information,,record,https://www.sbbarchiv.ch/detail.aspx?ID=601330,,,,
wila003002,wila003,Bahnhof Wila,unknown,,,1974-05-18,,,,,,,,,,,,<a href='https://www.sbbhistoric.ch/sammlungen-archive' target='_blank'>SBB Historic</a>,<a href='https://www.sbbarchiv.ch/detail.aspx?ID=329353' target='_blank'>AIII_WILA_1928</a>,Image;StillImage,record,de,no license information,,record,https://www.sbbarchiv.ch/bild.aspx?VEID=329353&DEID=10&SQNZNR=1,,,,
wila003003,wila003,Bahnhof Wila,unknown,,,1974-05-18,,,,,,,,,,,,<a href='https://www.sbbhistoric.ch/sammlungen-archive' target='_blank'>SBB Historic</a>,<a href='https://www.sbbarchiv.ch/detail.aspx?ID=329355' target='_blank'>AIII_WILA_1930</a>,Image;StillImage,record,de,no license information,,record,https://www.sbbarchiv.ch/bild.aspx?VEID=329355&DEID=10&SQNZNR=1,,,,
wila003geo,wila003,Morphological Clusters,Moritz Twente,,,2024-09,,,"This map shows morphological clusters in 1km<sup>2</sup> around Max Vogt's building. Each colour represents one cluster. The map was created with the urban morphology measurement toolkit <a href='https://docs.momepy.org/en/stable/index.html' target='_blank'>momepy</a>. Open the layer settings menu to show historical satellite imagery, railway tracks and other information on the map.",,Morphology,,,,,,,<a href='https://mtwente.github.io/maxvogt-analysis/' target='_blank'>maxvogt-analysis</a>,<a href='https://github.com/mtwente/maxvogt-analysis/blob/main/data/raw/Wila.geojson' target='_blank'>Wila.geojson</a>,<a href='http://purl.org/dc/dcmitype/Dataset' target='_blank'>Dataset</a>,application/geo+json,,"CC BY-SA 4.0, Moritz Twente",https://creativecommons.org/licenses/by-sa/4.0/,geodata,https://raw.githubusercontent.com/mtwente/maxvogt-analysis/refs/heads/main/data/raw/Wila.geojson,,,,
zue004,,Station Hall Pavillon,,1959,,,https://www.sbb.ch/en?nach=Zürich+HB|SBB Journey Planner;https://www.wikidata.org/wiki/Q127963400|Wikidata Item;https://commons.wikimedia.org/wiki/Category:Z%C3%BCrich_HB_Station_Hall_Pavillon|Wikimedia Commons Category,"Zürich HB, Bahnhofshalle","Pavillon in the main hall of Zürich HB, demolished. Mistakenly attributed to Vogt was the adjacent station cinema pavillon.",,Pavillon;Commercial Use,Passenger Facility,demolished,https://www.zotero.org/groups/5400359/sbb-max-vogt/tags/zue004/library|ZUE004 on Zotero,Zürich,47.37772,8.5408,,,record,compound_object,eng,,,compound_object,https://upload.wikimedia.org/wikipedia/commons/a/ac/Pavillons_HB_Zuerich_1959.jpg,https://commons.wikimedia.org/w/thumb.php?f=Pavillons_HB_Zuerich_1959.jpg&w=800,https://commons.wikimedia.org/w/thumb.php?f=Pavillons_HB_Zuerich_1959.jpg&w=400,,
zue004001,zue004,Neubau Bahnhofkino Zürich HB,unknown,,,1957-11,,,,,,,,,,,,<a href='https://www.sbbhistoric.ch/sammlungen-archive' target='_blank'>SBB Historic</a>,<a href='https://www.sbbarchiv.ch/detail.aspx?ID=268604' target='_blank'>R_3725_07</a>,Image;StillImage,record,de,no license information,,record,https://www.sbbarchiv.ch/bild.aspx?VEID=268604&DEID=10&SQNZNR=1,,,,
zue004002,zue004,Neubau Bahnhofkino Zürich HB,unknown,,,1957-11,,,,,,,,,,,,<a href='https://www.sbbhistoric.ch/sammlungen-archive' target='_blank'>SBB Historic</a>,<a href='https://www.sbbarchiv.ch/detail.aspx?ID=268611' target='_blank'>R_3725_08</a>,Image;StillImage,record,de,no license information,,record,https://www.sbbarchiv.ch/bild.aspx?VEID=268611&DEID=10&SQNZNR=1,,,,
zue004003,zue004,Neubau Bahnhofkino Zürich HB,unknown,,,1957-11,,,,,,,,,,,,<a href='https://www.sbbhistoric.ch/sammlungen-archive' target='_blank'>SBB Historic</a>,<a href='https://www.sbbarchiv.ch/detail.aspx?ID=268612' target='_blank'>R_3725_09</a>,Image;StillImage,record,de,no license information,,record,https://www.sbbarchiv.ch/bild.aspx?VEID=268612&DEID=10&SQNZNR=1,,,,
zue004004,zue004,Geschichten vom Kino: Bahnhofkino Zürich (1958-1976),Kristina Köhler,,,2018,,,"Even though the article is about the station cinema pavillon which has evidently not been designed by Max Vogt, the picture in the article also shows the second pavillon (more likely by Vogt).",,,,,,,,,<a href='https://www.e-periodica.ch/digbib/view?pid=flm-001:2018:60::679#148' target='_blank'>Filmbulletin: Zeitschrift für Film und Kino 60(369)</a>,<a href='https://doi.org/10.5169/seals-862931' target='_blank'>10.5169/seals-862931</a>,Text;Image;StillImage,application/pdf,de,in Copyright,https://rightsstatements.org/page/InC/1.0/?language=en,pdf,https://www.e-periodica.ch/cntmng?pid=flm-001%3A2018%3A60%3A%3A679,,,,
zue004005,zue004,Kino Rex in der Bahnhofshalle,Max Hellstern,1959,,,,,"Zürich Hauptbahnhof, Pavillons in der Bahnhofshalle",,,,,,,,,"<a href='https://e-pics3.ethz.ch/de/home/' target='_blank'>ETH-Library, E-Pics Bildarchiv online</a>",<a href='https://baz.e-pics.ethz.ch/catalog/BAZ/r/23794/viewmode=infoview' target='_blank'>ETH-Bibliothek_Com_BAZ_062862</a>,Image;StillImage,image/jpeg,de,"CC BY-SA 4.0, Max Hellstern/Baugeschichtliches Archiv",https://creativecommons.org/licenses/by-sa/4.0/,image,https://upload.wikimedia.org/wikipedia/commons/a/ac/Pavillons_HB_Zuerich_1959.jpg,https://commons.wikimedia.org/w/thumb.php?f=Pavillons_HB_Zuerich_1959.jpg&w=800,https://commons.wikimedia.org/w/thumb.php?f=Pavillons_HB_Zuerich_1959.jpg&w=400,,
zseb005,,Station Building,,1959,yes,,https://www.sbb.ch/en?nach=8052+Zürich+Bahnhaldenstrasse+17|SBB Journey Planner;https://www.wikidata.org/wiki/Q127546806|Wikidata Item;https://commons.wikimedia.org/wiki/Category:Z%C3%BCrich-Seebach_Station_Building|Wikimedia Commons Category;https://www.openstreetmap.org/way/12163926|OpenStreetMap Object;https://api.geo.admin.ch/rest/services/ech/MapServer/ch.bfs.gebaeude_wohnungs_register/210097420_0/extendedHtmlPopup|EGID,"Bahnhaldenstrasse 17, 8052 Zürich",,,Commercial Use,Passenger Facility,renewed,https://www.zotero.org/groups/5400359/sbb-max-vogt/tags/zseb005/library|ZSEB005 on Zotero,Zürich,47.41879,8.54464,,,record,compound_object,eng,,,compound_object,https://upload.wikimedia.org/wikipedia/commons/d/d0/ZSEB005_Zuerich-Seebach_MaxVogt_20240801_193226.jpg,https://commons.wikimedia.org/w/thumb.php?f=ZSEB005_Zuerich-Seebach_MaxVogt_20240801_193226.jpg&w=800,https://commons.wikimedia.org/w/thumb.php?f=ZSEB005_Zuerich-Seebach_MaxVogt_20240801_193226.jpg&w=400,,
zseb005001,zseb005,Zürich - Seebach,unknown,,,1963-07-06,,,,,,,,,,,,<a href='https://www.sbbhistoric.ch/sammlungen-archive' target='_blank'>SBB Historic</a>,<a href='https://www.sbbarchiv.ch/detail.aspx?ID=487493' target='_blank'>F_116_00001_562</a>,Image;StillImage,image/tif,de,"CC BY-SA 4.0, SBB Historic",https://creativecommons.org/licenses/by-sa/4.0/,image,https://upload.wikimedia.org/wikipedia/commons/e/ec/SBB_Historic_-_F_116_00001_562_-_Zuerich_-_Seebach.tif,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/SBB_Historic_-_F_116_00001_562_-_Zuerich_-_Seebach.tif/lossy-page1-800px-SBB_Historic_-_F_116_00001_562_-_Zuerich_-_Seebach.tif.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/SBB_Historic_-_F_116_00001_562_-_Zuerich_-_Seebach.tif/lossy-page1-320px-SBB_Historic_-_F_116_00001_562_-_Zuerich_-_Seebach.tif.jpg,,
zseb005002,zseb005,Bahnhof Zürich Seebach,unknown,,,1968-02-03,,,,,,,,,,,,<a href='https://www.sbbhistoric.ch/sammlungen-archive' target='_blank'>SBB Historic</a>,<a href='https://www.sbbarchiv.ch/detail.aspx?ID=329478' target='_blank'>AIII_ZSEB_0879</a>,Image;StillImage,image/jpeg,de,no license information,,record,https://www.sbbarchiv.ch/bild.aspx?VEID=329478&DEID=10&SQNZNR=1,,,,
zseb005003,zseb005,Bahnhof Zürich Seebach,unknown,,,1968-02-03,,,,,,,,,,,,<a href='https://www.sbbhistoric.ch/sammlungen-archive' target='_blank'>SBB Historic</a>,<a href='https://www.sbbarchiv.ch/detail.aspx?ID=329476' target='_blank'>AIII_ZSEB_0877</a>,Image;StillImage,image/jpeg,de,no license information,,record,https://www.sbbarchiv.ch/bild.aspx?VEID=329476&DEID=10&SQNZNR=1,,,,
zseb005004,zseb005,Inventar historischer Bahnhöfe: Seebach,<a href='https://foto-ch.ch/persons/detail/34321' target='_blank'>Hans-Peter Bärtschi</a>,,,1983,,,"Dossier im SBB-Archiv, dortige Beschreibung: Information zu Bauherrschaft, Umbauten und zusätzliche Gebäude, Schutzziel betreffend Erhaltung des Bahnhofs, Fotodokumentation, Bewertung der Ursprünglichkeit",,,,,,,,,<a href='https://www.sbbhistoric.ch/sammlungen-archive' target='_blank'>SBB Historic</a>,<a href='https://www.sbbarchiv.ch/detail.aspx?ID=539578' target='_blank'>GD_BAU_SBB64_0746</a>,Text;Image;StillImage,application/pdf,de,no license information,,pdf,https://www.sbbarchiv.ch/Dateien/113/D566888.pdf,,,,
zseb105,,Station Fountain,,1959,yes,,https://www.sbb.ch/en?nach=8052+Zürich+Bahnhaldenstrasse+17|SBB Journey Planner;https://www.wikidata.org/wiki/Q55166758|Wikidata Item;https://commons.wikimedia.org/wiki/Category:Z%C3%BCrich-Seebach_Station_Fountain|Wikimedia Commons Category;https://www.openstreetmap.org/node/4227130582|OpenStreetMap Object,"Bahnhaldenstrasse 17, 8052 Zürich",,,Street Furniture;Station Square,Passenger Facility,preserved,https://www.zotero.org/groups/5400359/sbb-max-vogt/tags/zseb105/library|ZSEB105 on Zotero,Zürich,47.418894,8.545021,,,record,compound_object,eng,,,compound_object,https://upload.wikimedia.org/wikipedia/commons/9/99/ZSEB105_Zuerich-Seebach_MaxVogt_20240430_141755.jpg,https://commons.wikimedia.org/w/thumb.php?f=ZSEB105_Zuerich-Seebach_MaxVogt_20240430_141755.jpg&w=800,https://commons.wikimedia.org/w/thumb.php?f=ZSEB105_Zuerich-Seebach_MaxVogt_20240430_141755.jpg&w=400,,
bu006,,Signal Box Building,,1960,,,https://www.sbb.ch/en?nach=9470+Buchs+SG+Langäulistrasse+1.1|SBB Journey Planner;https://www.wikidata.org/wiki/Q127688929|Wikidata Item;https://commons.wikimedia.org/wiki/Category:Buchs_SG_Signal_Box_Building|Wikimedia Commons Category;https://www.openstreetmap.org/way/119143077|OpenStreetMap Object;https://api.geo.admin.ch/rest/services/ech/MapServer/ch.bfs.gebaeude_wohnungs_register/504138434_0/extendedHtmlPopup|EGID,"Langäulistrasse 1.1, 9470 Buchs SG",,,Building Height,Rail Infrastructure,preserved,https://www.zotero.org/groups/5400359/sbb-max-vogt/tags/bu006/library|BU006 on Zotero,Buchs SG,47.17572,9.47704,,,record,compound_object,eng,,,compound_object,https://upload.wikimedia.org/wikipedia/commons/7/70/Ablaufberg-Stellwerk_G%C3%BCterbahnhof_Buchs_SG.png,https://commons.wikimedia.org/w/thumb.php?f=Ablaufberg-Stellwerk_G%C3%BCterbahnhof_Buchs_SG.png&w=800,https://commons.wikimedia.org/w/thumb.php?f=Ablaufberg-Stellwerk_G%C3%BCterbahnhof_Buchs_SG.png&w=400,,
bu006001,bu006;bu001,Luftaufnahme der Bahnanlagen und Lagerhäuser in Buchs SG,<a href='https://foto-ch.ch/persons/detail/20181' target='_blank'>Cometfoto</a>,,,1964-09,,,,,,,,,,,,<a href='https://www.sbbhistoric.ch/sammlungen-archive' target='_blank'>SBB Historic</a>,<a href='https://www.sbbarchiv.ch/detail.aspx?ID=446148' target='_blank'>P_2374</a>,Image;StillImage,record,de,no license information,,record,https://www.sbbarchiv.ch/bild.aspx?VEID=446148&DEID=10&SQNZNR=2,,,,
bu006002,bu006,SBB Buchs SG - Signal Box Tower (Intro),<a href='https://www.flickr.com/people/kecko/' target='_blank'>Kecko</a>,,,2019-10-03,,,,,,,,,,,,<a href='https://www.flickr.com/photos/kecko/albums/72157711273110767/' target='_blank'>Flickr Album 'Signal Box Tower Buchs SG'</a>,<a href='https://www.flickr.com/photos/kecko/48874799112' target='_blank'>kecko/48874799112</a>,Image;StillImage,image/jpeg,eng,"CC-BY 2.0. Generic, kecko",https://creativecommons.org/licenses/by/2.0/,image,https://live.staticflickr.com/65535/48874799112_4c1f4669cd_o.jpg,https://live.staticflickr.com/65535/48874799112_b0c9fa28d1_c.jpg,https://live.staticflickr.com/65535/48874799112_b0c9fa28d1_w.jpg,,
bu006003,bu006,SBB Buchs SG - Signal Box Tower 2,<a href='https://www.flickr.com/people/kecko/' target='_blank'>Kecko</a>,,,2019-10-03,,,,,,,,,,,,<a href='https://www.flickr.com/photos/kecko/albums/72157711273110767/' target='_blank'>Flickr Album 'Signal Box Tower Buchs SG'</a>,<a href='https://www.flickr.com/photos/kecko/48874798842' target='_blank'>kecko/48874798842</a>,Image;StillImage,image/jpeg,eng,"CC-BY 2.0. Generic, kecko",https://creativecommons.org/licenses/by/2.0/,image,https://live.staticflickr.com/65535/48874798842_814fefb51f_o.jpg,https://live.staticflickr.com/65535/48874798842_e84f56e855_c.jpg,https://live.staticflickr.com/65535/48874798842_e84f56e855_w.jpg,,
bu006004,bu006,SBB Buchs SG - Signal Box Tower 26,<a href='https://www.flickr.com/people/kecko/' target='_blank'>Kecko</a>,,,2019-10-03,,,,,,,,,,,,<a href='https://www.flickr.com/photos/kecko/albums/72157711273110767/' target='_blank'>Flickr Album 'Signal Box Tower Buchs SG'</a>,<a href='https://www.flickr.com/photos/kecko/48874581366/' target='_blank'>kecko/48874581366</a>,Image;StillImage,image/jpeg,eng,"CC-BY 2.0. Generic, kecko",https://creativecommons.org/licenses/by/2.0/,image,https://live.staticflickr.com/65535/48874581366_523c35b028_o.jpg,https://live.staticflickr.com/65535/48874581366_a22e44676e_c.jpg,https://live.staticflickr.com/65535/48874581366_a22e44676e_w.jpg,,
bu006005,bu006,SBB Buchs SG - Signal Box Tower 12,<a href='https://www.flickr.com/people/kecko/' target='_blank'>Kecko</a>,,,2019-10-03,,,,,,,,,,,,<a href='https://www.flickr.com/photos/kecko/albums/72157711273110767/' target='_blank'>Flickr Album 'Signal Box Tower Buchs SG'</a>,<a href='https://www.flickr.com/photos/kecko/48874791242/' target='_blank'>kecko/48874791242</a>,Image;StillImage,image/jpeg,eng,"CC-BY 2.0. Generic, kecko",https://creativecommons.org/licenses/by/2.0/,image,https://live.staticflickr.com/65535/48874791242_0b329a42ac_o.jpg,https://live.staticflickr.com/65535/48874791242_4965ec4f35_c.jpg,https://live.staticflickr.com/65535/48874791242_4965ec4f35_w.jpg,,
bu006006,bu006,SBB Buchs SG - Signal Box Tower 3,<a href='https://www.flickr.com/people/kecko/' target='_blank'>Kecko</a>,,,2019-10-03,,,,,,,,,,,,<a href='https://www.flickr.com/photos/kecko/albums/72157711273110767/' target='_blank'>Flickr Album 'Signal Box Tower Buchs SG'</a>,<a href='https://www.flickr.com/photos/kecko/48874798297/' target='_blank'>kecko/48874798297</a>,Image;StillImage,image/jpeg,eng,"CC-BY 2.0. Generic, kecko",https://creativecommons.org/licenses/by/2.0/,image,https://live.staticflickr.com/65535/48874798297_7edc3ee724_o.jpg,https://live.staticflickr.com/65535/48874798297_b2ebb15bdd_c.jpg,https://live.staticflickr.com/65535/48874798297_b2ebb15bdd_w.jpg,,
bu006007,bu006,Ablaufberg-Stellwerk Güterbahnhof Buchs SG,unknown,,,1962-05,,,,,,,,,,,,<a href='https://www.sbbhistoric.ch/sammlungen-archive' target='_blank'>SBB Historic</a>,<a href='https://www.sbbarchiv.ch/detail.aspx?ID=262621' target='_blank'>R_4635_07</a>,Image;StillImage,image/png,de,Public Domain,https://creativecommons.org/public-domain/pdm/,image,https://upload.wikimedia.org/wikipedia/commons/7/70/Ablaufberg-Stellwerk_G%C3%BCterbahnhof_Buchs_SG.png,https://commons.wikimedia.org/w/thumb.php?f=Ablaufberg-Stellwerk_G%C3%BCterbahnhof_Buchs_SG.png&w=800,https://commons.wikimedia.org/w/thumb.php?f=Ablaufberg-Stellwerk_G%C3%BCterbahnhof_Buchs_SG.png&w=400,,
